account_class,audit_id,metric,printed,value,cell_status,unit,source_file,table,printed_page,pdf_page,verification
inventory,13,sd_dollar,0.52,0.52,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,sd_dollar,0.25,0.25,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,sd_dollar,0.54,0.54,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,sd_dollar,0.46,0.46,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,sd_dollar,0.16,0.16,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,sd_dollar,0.35,0.35,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,sd_dollar,0.26,0.26,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,sd_dollar,0.34,0.34,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,sd_dollar,0.09,0.09,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,sd_dollar,0.42,0.42,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,13,skew_line,-5.32,-5.32,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,skew_line,-1.74,-1.74,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,skew_line,-6.42,-6.42,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,skew_line,-9.73,-9.73,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,skew_line,-0.68,-0.68,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,skew_line,-8.44,-8.44,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,skew_line,-4.18,-4.18,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,skew_line,-3.56,-3.56,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,skew_line,-2.29,-2.29,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,skew_line,0.41,0.41,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,13,skew_dollar,-11.6,-11.6,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,14,skew_dollar,-1.68,-1.68,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,22,skew_dollar,-16.59,-16.59,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,23,skew_dollar,-11.99,-11.99,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,24,skew_dollar,-0.81,-0.81,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,27,skew_dollar,-9.88,-9.88,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,32,skew_dollar,-4.12,-4.12,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,33,skew_dollar,-4.39,-4.39,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,56,skew_dollar,-2.57,-2.57,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
inventory,60,skew_dollar,0.34,0.34,numeric,as_printed,Neter_Johnson_Leitch_1985_TAR.pdf,3,493,6,rendered primary scan visually verified
